date,region,confirmed,death,released
20200306,Quarantine,0,0,0
20200307,Seoul,108,0,27
20200307,Busan,94,0,2
20200307,Daegu,5085,32,18
20200307,Incheon,9,0,2
20200307,Gwangju,13,0,3
20200307,Daejeon,18,0,0
20200307,Ulsan,23,0,1
20200307,Sejong,2,0,0
20200307,Gyeonggi,130,1,14
20200307,Gangwon,26,1,3
20200307,Chungbuk,20,0,1
20200307,Chungnam,92,0,0
20200307,Jeonbuk,7,0,2
20200307,Jeonnam,4,0,0
20200307,Gyeongbuk,1050,10,41
20200307,Gyeongnam,82,0,4
20200307,Jeju,4,0,0
20200307,Quarantine,0,0,0
20200308,Seoul,120,0,28
20200308,Busan,95,0,9
20200308,Daegu,5382,36,18
20200308,Incheon,9,0,2
20200308,Gwangju,13,0,3
20200308,Daejeon,18,0,1
20200308,Ulsan,24,0,1
20200308,Sejong,3,0,0
20200308,Gyeonggi,141,1,16
20200308,Gangwon,27,1,3
20200308,Chungbuk,24,0,1
20200308,Chungnam,98,0,0
20200308,Jeonbuk,7,0,2
20200308,Jeonnam,4,0,0
20200308,Gyeongbuk,1082,12,42
20200308,Gyeongnam,83,0,4
20200308,Jeju,4,0,0
20200308,Quarantine,0,0,0
20200309,Seoul,130,0,29
20200309,Busan,95,0,10
20200309,Daegu,5572,35,21
20200309,Incheon,9,0,2
20200309,Gwangju,15,0,3
20200309,Daejeon,18,0,1
20200309,Ulsan,24,0,1
20200309,Sejong,6,0,0
20200309,Gyeonggi,153,1,22
20200309,Gangwon,28,1,3
20200309,Chungbuk,25,0,3
20200309,Chungnam,102,0,1
20200309,Jeonbuk,7,0,2
20200309,Jeonnam,4,0,1
20200309,Gyeongbuk,1107,14,57
20200309,Gyeongnam,83,0,9
20200309,Jeju,4,0,1
20200309,Quarantine,0,0,0
20200310,Seoul,141,0,31
20200310,Busan,95,0,10
20200310,Daegu,5664,38,92
20200310,Incheon,13,0,3
20200310,Gwangju,15,0,3
20200310,Daejeon,18,0,1
20200310,Ulsan,24,0,1
20200310,Sejong,8,0,0
20200310,Gyeonggi,163,1,22
20200310,Gangwon,28,1,6
20200310,Chungbuk,25,0,3
20200310,Chungnam,104,0,1
20200310,Jeonbuk,7,0,2
20200310,Jeonnam,4,0,1
20200310,Gyeongbuk,1117,14,60
20200310,Gyeongnam,83,0,10
20200310,Jeju,4,0,1
20200310,Quarantine,0,0,0
20200311,Seoul,194,0,37
20200311,Busan,97,0,21
20200311,Daegu,5795,44,102
20200311,Incheon,25,0,3
20200311,Gwangju,15,0,3
20200311,Daejeon,18,0,2
20200311,Ulsan,25,0,2
20200311,Sejong,10,0,0
20200311,Gyeonggi,174,1,25
20200311,Gangwon,29,1,6
20200311,Chungbuk,27,0,3
20200311,Chungnam,112,0,1
20200311,Jeonbuk,7,0,2
20200311,Jeonnam,4,0,1
20200311,Gyeongbuk,1135,14,69
20200311,Gyeongnam,84,0,10
20200311,Jeju,4,0,1
20200311,Quarantine,0,0,0
20200312,Seoul,213,0,38
20200312,Busan,99,0,29
20200312,Daegu,5867,48,114
20200312,Incheon,25,0,4
20200312,Gwangju,15,0,4
20200312,Daejeon,20,0,2
20200312,Ulsan,25,0,3
20200312,Sejong,15,0,0
20200312,Gyeonggi,177,1,27
20200312,Gangwon,29,1,6
20200312,Chungbuk,27,0,4
20200312,Chungnam,114,0,5
20200312,Jeonbuk,7,0,2
20200312,Jeonnam,4,0,1
20200312,Gyeongbuk,1143,16,83
20200312,Gyeongnam,85,0,10
20200312,Jeju,4,0,1
20200312,Quarantine,0,0,0
20200313,Seoul,225,0,40
20200313,Busan,100,0,36
20200313,Daegu,5928,48,251
20200313,Incheon,27,0,4
20200313,Gwangju,15,0,4
20200313,Daejeon,22,0,4
20200313,Ulsan,27,0,3
20200313,Sejong,32,0,0
20200313,Gyeonggi,185,2,31
20200313,Gangwon,29,1,6
20200313,Chungbuk,27,0,4
20200313,Chungnam,115,0,7
20200313,Jeonbuk,7,0,4
20200313,Jeonnam,4,0,1
20200313,Gyeongbuk,1147,16,103
20200313,Gyeongnam,85,0,11
20200313,Jeju,4,0,1
20200313,Quarantine,0,0,0
20200314,Seoul,238,0,44
20200314,Busan,103,0,40
20200314,Daegu,5990,51,401
20200314,Incheon,28,0,4
20200314,Gwangju,15,0,4
20200314,Daejeon,22,0,4
20200314,Ulsan,27,0,5
20200314,Sejong,38,0,0
20200314,Gyeonggi,200,3,36
20200314,Gangwon,29,1,6
20200314,Chungbuk,28,0,5
20200314,Chungnam,115,0,9
20200314,Jeonbuk,7,0,4
20200314,Jeonnam,4,0,2
20200314,Gyeongbuk,1153,17,138
20200314,Gyeongnam,85,0,11
20200314,Jeju,4,0,1
20200314,Quarantine,0,0,0
20200315,Seoul,247,0,47
20200315,Busan,106,1,52
20200315,Daegu,6031,53,468
20200315,Incheon,29,0,4
20200315,Gwangju,16,0,4
20200315,Daejeon,22,0,4
20200315,Ulsan,28,0,6
20200315,Sejong,39,0,0
20200315,Gyeonggi,211,3,40
20200315,Gangwon,29,1,7
20200315,Chungbuk,31,0,6
20200315,Chungnam,115,0,10
20200315,Jeonbuk,7,0,4
20200315,Jeonnam,4,0,2
20200315,Gyeongbuk,1157,17,163
20200315,Gyeongnam,85,0,16
20200315,Jeju,4,0,1
20200315,Quarantine,1,0,0
20200316,Seoul,253,0,52
20200316,Busan,107,1,53
20200316,Daegu,6066,53,734
20200316,Incheon,30,0,4
20200316,Gwangju,16,0,4
20200316,Daejeon,22,0,4
20200316,Ulsan,28,0,7
20200316,Sejong,40,0,0
20200316,Gyeonggi,231,3,48
20200316,Gangwon,29,1,7
20200316,Chungbuk,31,0,6
20200316,Chungnam,115,0,12
20200316,Jeonbuk,7,0,4
20200316,Jeonnam,4,0,2
20200316,Gyeongbuk,1164,17,178
20200316,Gyeongnam,85,0,20
20200316,Jeju,4,0,2
20200316,Quarantine,4,0,0
20200317,Seoul,265,0,55
20200317,Busan,107,1,54
20200317,Daegu,6098,57,947
20200317,Incheon,31,0,5
20200317,Gwangju,16,0,6
20200317,Daejeon,22,0,4
20200317,Ulsan,28,0,8
20200317,Sejong,40,0,0
20200317,Gyeonggi,262,3,55
20200317,Gangwon,29,1,8
20200317,Chungbuk,31,0,5
20200317,Chungnam,115,0,15
20200317,Jeonbuk,7,0,4
20200317,Jeonnam,4,0,2
20200317,Gyeongbuk,1169,19,209
20200317,Gyeongnam,86,0,22
20200317,Jeju,4,0,2
20200317,Quarantine,6,0,0
20200318,Seoul,270,0,55
20200318,Busan,107,1,58
20200318,Daegu,6144,58,1048
20200318,Incheon,32,0,5
20200318,Gwangju,17,0,6
20200318,Daejeon,22,0,4
20200318,Ulsan,30,0,9
20200318,Sejong,41,0,0
20200318,Gyeonggi,277,3,59
20200318,Gangwon,30,1,8
20200318,Chungbuk,32,0,5
20200318,Chungnam,118,0,16
20200318,Jeonbuk,9,0,5
20200318,Jeonnam,5,0,2
20200318,Gyeongbuk,1178,21,235
20200318,Gyeongnam,86,0,23
20200318,Jeju,4,0,2
20200318,Quarantine,11,0,0
20200319,Seoul,282,0,58
20200319,Busan,107,1,58
20200319,Daegu,6241,65,1382
20200319,Incheon,32,0,6
20200319,Gwangju,17,0,7
20200319,Daejeon,22,0,4
20200319,Ulsan,36,0,9
20200319,Sejong,41,0,0
20200319,Gyeonggi,295,3,64
20200319,Gangwon,30,1,9
20200319,Chungbuk,33,0,5
20200319,Chungnam,118,0,31
20200319,Jeonbuk,10,0,5
20200319,Jeonnam,5,0,3
20200319,Gyeongbuk,1190,21,275
20200319,Gyeongnam,86,0,29
20200319,Jeju,4,0,2
20200319,Quarantine,16,0,0
20200320,Seoul,299,0,64
20200320,Busan,108,1,60
20200320,Daegu,6275,67,1577
20200320,Incheon,36,0,7
20200320,Gwangju,18,0,10
20200320,Daejeon,22,0,5
20200320,Ulsan,36,0,11
20200320,Sejong,41,0,0
20200320,Gyeonggi,309,3,66
20200320,Gangwon,30,1,10
20200320,Chungbuk,33,0,6
20200320,Chungnam,119,0,32
20200320,Jeonbuk,10,0,7
20200320,Jeonnam,5,0,3
20200320,Gyeongbuk,1203,22,340
20200320,Gyeongnam,87,0,33
20200320,Jeju,4,0,2
20200320,Quarantine,17,0,0
20200321,Seoul,314,0,64
20200321,Busan,108,1,67
20200321,Daegu,6344,73,1861
20200321,Incheon,40,0,7
20200321,Gwangju,18,0,10
20200321,Daejeon,22,0,5
20200321,Ulsan,36,0,11
20200321,Sejong,41,0,2
20200321,Gyeonggi,321,3,79
20200321,Gangwon,30,1,12
20200321,Chungbuk,34,0,8
20200321,Chungnam,119,0,39
20200321,Jeonbuk,10,0,7
20200321,Jeonnam,5,0,3
20200321,Gyeongbuk,1243,24,395
20200321,Gyeongnam,87,0,40
20200321,Jeju,4,0,2
20200321,Quarantine,23,0,0
20200322,Seoul,324,0,64
20200322,Busan,108,1,69
20200322,Daegu,6387,75,2107
20200322,Incheon,40,0,8
20200322,Gwangju,19,0,10
20200322,Daejeon,24,0,6
20200322,Ulsan,36,0,12
20200322,Sejong,41,0,3
20200322,Gyeonggi,337,3,82
20200322,Gangwon,30,1,13
20200322,Chungbuk,35,0,9
20200322,Chungnam,120,0,39
20200322,Jeonbuk,10,0,7
20200322,Jeonnam,6,0,3
20200322,Gyeongbuk,1254,24,432
20200322,Gyeongnam,88,0,42
20200322,Jeju,4,0,3
20200322,Quarantine,34,0,0
20200323,Seoul,330,0,64
20200323,Busan,109,1,71
20200323,Daegu,6411,82,2305
